T_degC,Salnty,O2ml_L
9.26,33.759,
10.91,33.664,3.79
9.62,33.785,3.26
7.67,34.15,1.24
8.56,33.713,2.61
18.74,33.157,5.56
4.68,34.433,0.36
20.59,33.907,5.3
3.8,34.443000000000005,0.57
14.49,33.4,
5.88,34.264,
14.39,33.389,6.04
4.8,,0.35
10.39,33.707,3.74
12.2,33.57,5.15
7.82,34.09,
8.18,34.14,1.78
18.87,34.07,5.15
5.56,34.079,
4.63,34.498000000000005,0.55
15.92,33.38,6.13
8.54,33.88,2.95
9.36,34.444,0.66
5.53,34.347,
7.9,33.94,3.24
8.46,34.169000000000004,1.53
14.69,33.4,5.85
15.2,33.55,
10.66,33.598,4.09
6.81,34.215,0.75
4.52,34.378,0.28
11.576,33.8361,2.609
11.16,33.54,3.96
6.91,34.309,0.81
20.08,33.755,5.43
13.33,33.411,6.01
16.05,33.47,
16.34,,4.35
16.42,33.43,5.63
18.436,33.242,5.443
3.73,34.575,0.71
8.58,33.923,3.58
10.15,33.662,3.5
7.25,34.22,1.04
11.04,,
5.44,34.02,2.74
7.14,34.051,2.11
6.28,,0.53
1.98,34.62,1.86
6.24,34.536,0.38
11.28,33.596,3.58
13.73,33.07,5.93
12.67,32.952,5.55
9.51,33.922,2.61
13.48,33.25,6.1
21.72,33.778,4.99
6.445,34.2327,0.531
8.77,,0.39
6.34,34.259,0.8
6.06,34.223,0.48
13.08,33.4,5.49
3.58,34.51,0.94
7.11,34.122,1.36
6.537999999999999,34.3034,0.366
7.06,34.3,0.99
8.9,34.24,
14.48,33.468,5.8
3.9,34.561,0.63
27.32,35.123000000000005,4.24
5.99,34.335,0.26
