YEAR,MONTH,METRIC,d1,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d2,d20,d21,d22,d23,d24,d25,d26,d27,d28,d29,d3,d30,d31,d4,d5,d6,d7,d8,d9
2007,11,PRCP,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,1.1,9999.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,11,TMAX,48.0,52.0,43.0,46.0,50.0,39.0,53.0,50.0,50.0,54.0,54.0,46.0,40.0,27.0,34.0,35.0,38.0,44.0,37.0,41.0,26.0,35.0,50.0,36.0,9999.0,54.0,56.0,55.0,56.0,57.0,55.0
2007,11,TMIN,30.0,38.0,31.0,24.0,32.0,24.0,31.0,36.0,37.0,38.0,37.0,29.0,16.0,13.0,16.0,14.0,16.0,23.0,24.0,17.0,11.0,19.0,29.0,26.0,9999.0,34.0,37.0,39.0,39.0,39.0,40.0
2007,12,PRCP,0.3,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.3,0.1,1.1,0.0,0.2,0.1,0.1,0.0,0.0,0.0,0.2,0.2,0.0,0.3,0.0,0.0,0.0,0.5,1.8,0.7,0.1
2007,12,TMAX,30.0,36.0,22.0,25.0,31.0,19.0,23.0,39.0,35.0,36.0,31.0,31.0,31.0,24.0,21.0,27.0,39.0,25.0,18.0,19.0,15.0,22.0,47.0,27.0,19.0,52.0,46.0,35.0,33.0,32.0,28.0
2007,12,TMIN,15.0,11.0,5.0,2.0,9.0,2.0,1.0,18.0,24.0,19.0,25.0,9.0,17.0,3.0,-1.0,15.0,12.0,2.0,2.0,-2.0,-1.0,11.0,23.0,10.0,0.0,35.0,31.0,28.0,28.0,15.0,12.0
2008,1,PRCP,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.7,0.2,0.0,0.1,0.5,0.1,0.3,0.7,0.2,0.1,0.5,0.2,0.1,1.1,1.5,0.2,0.1,0.6
2008,1,TMAX,35.0,30.0,31.0,31.0,30.0,39.0,30.0,10.0,15.0,25.0,31.0,43.0,32.0,24.0,33.0,28.0,27.0,26.0,39.0,34.0,29.0,22.0,45.0,17.0,26.0,40.0,34.0,25.0,29.0,28.0,27.0
2008,1,TMIN,0.0,13.0,21.0,18.0,13.0,12.0,-2.0,-6.0,-7.0,3.0,7.0,29.0,20.0,7.0,6.0,5.0,12.0,18.0,18.0,24.0,7.0,4.0,28.0,7.0,2.0,28.0,16.0,10.0,8.0,8.0,14.0
2008,2,PRCP,0.5,0.0,0.0,0.0,0.2,0.2,0.2,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.8,0.1,0.8,0.2,0.0,0.0,0.0,0.0,1.2,9999.0,9999.0,0.0,0.0,0.1,0.1,0.4,0.1
2008,2,TMAX,23.0,44.0,36.0,39.0,39.0,31.0,34.0,35.0,31.0,38.0,47.0,24.0,37.0,33.0,34.0,38.0,35.0,36.0,39.0,47.0,46.0,52.0,27.0,9999.0,9999.0,27.0,22.0,22.0,32.0,30.0,36.0
2008,2,TMIN,5.0,24.0,21.0,20.0,16.0,10.0,10.0,14.0,12.0,11.0,25.0,9.0,27.0,20.0,24.0,19.0,24.0,23.0,17.0,20.0,26.0,24.0,16.0,9999.0,9999.0,5.0,1.0,7.0,11.0,15.0,24.0
2008,3,PRCP,0.2,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0
2008,3,TMAX,47.0,42.0,49.0,43.0,42.0,36.0,29.0,33.0,37.0,40.0,48.0,29.0,40.0,39.0,39.0,45.0,49.0,49.0,45.0,31.0,40.0,42.0,33.0,32.0,26.0,30.0,27.0,34.0,42.0,39.0,38.0
2008,3,TMIN,17.0,20.0,25.0,29.0,26.0,18.0,16.0,15.0,13.0,17.0,27.0,11.0,26.0,24.0,17.0,18.0,35.0,38.0,31.0,15.0,15.0,24.0,7.0,20.0,9.0,9.0,8.0,9.0,15.0,20.0,18.0
2008,4,PRCP,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.1,0.3,0.3,0.0
2008,4,TMAX,39.0,38.0,37.0,46.0,55.0,60.0,50.0,34.0,42.0,54.0,54.0,41.0,42.0,38.0,52.0,47.0,39.0,42.0,44.0,55.0,60.0,57.0,43.0,45.0,9999.0,45.0,38.0,40.0,38.0,43.0,35.0
2008,4,TMIN,8.0,16.0,20.0,20.0,31.0,37.0,18.0,13.0,17.0,29.0,40.0,24.0,17.0,17.0,31.0,35.0,22.0,21.0,24.0,26.0,36.0,44.0,21.0,21.0,9999.0,20.0,22.0,23.0,17.0,16.0,18.0
2008,5,PRCP,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.1,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1
2008,5,TMAX,34.0,47.0,59.0,42.0,49.0,50.0,57.0,61.0,65.0,68.0,67.0,44.0,72.0,49.0,36.0,43.0,48.0,51.0,42.0,56.0,56.0,53.0,49.0,56.0,63.0,58.0,62.0,60.0,52.0,47.0,48.0
2008,5,TMIN,17.0,28.0,36.0,26.0,25.0,38.0,37.0,40.0,45.0,49.0,51.0,23.0,49.0,30.0,29.0,29.0,32.0,33.0,33.0,34.0,44.0,38.0,26.0,37.0,42.0,35.0,40.0,42.0,34.0,32.0,34.0
2008,6,PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,9999.0,0.3,0.0,0.1,0.1,0.0,0.0
2008,6,TMAX,68.0,62.0,47.0,52.0,62.0,70.0,72.0,72.0,75.0,70.0,67.0,62.0,71.0,76.0,72.0,72.0,75.0,73.0,74.0,71.0,74.0,75.0,58.0,77.0,9999.0,43.0,50.0,55.0,46.0,51.0,61.0
2008,6,TMIN,47.0,35.0,31.0,32.0,37.0,47.0,54.0,51.0,53.0,50.0,47.0,43.0,45.0,53.0,53.0,49.0,51.0,56.0,53.0,49.0,51.0,52.0,42.0,54.0,9999.0,35.0,36.0,36.0,32.0,31.0,37.0
2008,7,PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,7,TMAX,78.0,76.0,73.0,73.0,74.0,73.0,77.0,68.0,75.0,77.0,79.0,75.0,76.0,72.0,75.0,76.0,78.0,82.0,80.0,77.0,73.0,77.0,79.0,76.0,78.0,78.0,76.0,72.0,72.0,73.0,75.0
2008,7,TMIN,54.0,53.0,50.0,50.0,49.0,54.0,51.0,51.0,50.0,55.0,56.0,52.0,55.0,53.0,54.0,55.0,56.0,58.0,53.0,50.0,50.0,52.0,56.0,51.0,55.0,60.0,53.0,51.0,49.0,51.0,52.0
2008,8,PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.7,0.0,0.1,0.1,0.0,0.0,0.0
2008,8,TMAX,80.0,73.0,69.0,74.0,76.0,73.0,67.0,64.0,72.0,75.0,74.0,77.0,73.0,75.0,72.0,78.0,80.0,78.0,71.0,70.0,71.0,73.0,77.0,78.0,66.0,78.0,68.0,73.0,72.0,72.0,75.0
2008,8,TMIN,60.0,51.0,48.0,46.0,52.0,52.0,44.0,40.0,45.0,53.0,52.0,59.0,50.0,50.0,50.0,54.0,55.0,54.0,49.0,47.0,48.0,48.0,54.0,51.0,41.0,54.0,55.0,53.0,51.0,54.0,52.0
2008,9,PRCP,0.8,0.5,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.3,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.2
2008,9,TMAX,48.0,60.0,56.0,58.0,64.0,66.0,68.0,70.0,70.0,67.0,67.0,59.0,62.0,60.0,53.0,56.0,66.0,67.0,68.0,72.0,69.0,68.0,59.0,71.0,9999.0,63.0,60.0,62.0,67.0,70.0,66.0
2008,9,TMIN,33.0,41.0,36.0,35.0,41.0,42.0,45.0,45.0,45.0,45.0,45.0,33.0,46.0,40.0,36.0,35.0,40.0,49.0,48.0,48.0,48.0,47.0,41.0,48.0,9999.0,40.0,38.0,44.0,44.0,47.0,44.0
