ID,MP,PTS,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,TOV
Lee Cummard-2006,14.8,4.9,0.455,0.395,0.493,0.532,0.765,2.3,1.6,0.6,0.4,1.1
Austin Ainge-2006,14.9,3.6,0.409,0.362,0.457,0.5,0.667,1.6,2.6,0.7,0.0,1.6
Derek Dawes-2006,8.7,3.2,0.395,0.0,0.395,0.395,0.743,1.6,0.2,0.2,0.5,0.6
Mike Rose-2006,9.0,3.1,0.313,0.353,0.188,0.448,1.0,0.7,0.6,0.2,0.0,0.3
Jackson Emery-2006,10.0,2.8,0.4,0.302,0.556,0.493,0.769,1.5,0.7,0.4,0.3,0.7
Keena Young-2007,28.9,17.4,0.543,0.0,0.543,0.543,0.803,6.6,1.5,0.4,0.1,2.2
Trent Plaisted-2007,28.7,12.6,0.546,0.0,0.546,0.546,0.492,6.2,1.2,0.4,1.4,1.6
Lee Cummard-2007,29.1,9.4,0.553,0.435,0.649,0.65,0.794,5.6,2.7,1.5,0.9,1.4
Jimmy Balderson-2007,24.2,8.1,0.421,0.352,0.465,0.489,0.628,3.0,1.7,1.1,0.1,1.7
Austin Ainge-2007,26.1,7.9,0.456,0.479,0.415,0.61,0.742,2.9,4.4,0.6,0.0,2.3
Mike Rose-2007,16.6,6.8,0.462,0.466,0.444,0.655,0.733,1.4,0.6,0.2,0.0,0.6
Jonathan Tavernari-2007,12.3,6.5,0.476,0.372,0.6,0.577,0.696,2.9,0.6,0.6,0.3,0.6
Rashaun Broadus-2007,22.5,6.1,0.344,0.304,0.383,0.419,0.583,1.9,2.2,0.6,0.0,2.0
Sam Burgess-2007,10.2,3.6,0.557,0.484,0.615,0.664,0.667,1.5,1.0,0.3,0.0,0.7
Fernando Malaman-2007,9.1,2.3,0.375,0.2,0.439,0.402,0.765,1.9,0.4,0.3,0.5,0.6
Vuk Ivanovic-2007,7.8,2.2,0.411,0.0,0.411,0.411,0.538,2.2,0.4,0.1,0.3,0.7
Ben Murdock-2007,7.3,1.5,0.364,0.375,0.353,0.455,0.682,0.8,1.0,0.3,0.0,0.5
Lee Cummard-2008,31.5,15.8,0.569,0.472,0.624,0.655,0.857,6.3,3.5,0.9,1.0,2.3
Trent Plaisted-2008,27.4,15.6,0.542,0.0,0.542,0.542,0.542,7.7,1.5,0.4,1.0,2.4
Jonathan Tavernari-2008,27.6,13.1,0.395,0.376,0.419,0.5,0.867,5.3,1.5,1.4,0.5,1.7
Sam Burgess-2008,27.7,8.7,0.448,0.424,0.488,0.58,0.831,3.5,1.9,0.8,0.3,1.5
Jimmer Fredette-2008,18.5,7.0,0.407,0.336,0.526,0.512,0.854,1.1,1.7,0.8,0.1,1.2
Ben Murdock-2008,27.1,3.9,0.333,0.289,0.415,0.427,0.72,2.4,3.6,0.5,0.1,1.5
Vuk Ivanovic-2008,7.7,3.3,0.571,0.0,0.571,0.571,0.654,2.4,0.4,0.2,0.3,1.0
Chris Collinsworth-2008,15.9,3.2,0.375,0.182,0.456,0.402,0.431,4.8,0.5,0.3,0.4,0.9
Chris Miles-2008,8.6,2.5,0.431,0.0,0.431,0.431,0.431,1.5,0.6,0.3,0.4,0.7
Michael Loyd Jr-2008,8.8,2.0,0.434,0.381,0.469,0.509,0.667,0.9,1.2,0.3,0.1,1.0
Nick Martineau-2008,5.8,0.7,0.286,0.2,0.333,0.321,0.667,0.4,0.7,0.2,0.0,0.5
Lee Cummard-2009,32.8,16.8,0.517,0.387,0.558,0.564,0.871,6.2,3.4,0.9,0.9,1.6
Jimmer Fredette-2009,33.0,16.2,0.48,0.382,0.534,0.548,0.847,3.0,4.1,1.5,0.1,2.6
Jonathan Tavernari-2009,31.6,15.7,0.432,0.381,0.482,0.527,0.764,7.2,1.8,1.5,0.3,1.3
Jackson Emery-2009,28.5,7.8,0.48,0.377,0.634,0.593,0.738,3.8,3.0,1.4,0.3,1.1
Chris Miles-2009,22.0,7.1,0.57,0.0,0.57,0.57,0.522,4.0,1.3,0.7,0.8,1.4
Lamont Morgan Jr-2009,16.2,3.6,0.461,0.412,0.491,0.539,0.639,1.4,1.8,0.5,0.1,1.4
Charles Abouo-2009,10.7,2.9,0.4,0.429,0.389,0.46,0.643,1.9,0.4,0.3,0.1,0.7
Gavin MacGregor-2009,9.8,2.6,0.654,0.0,0.654,0.654,0.571,2.3,0.1,0.1,0.2,0.4
James Anderson-2009,7.6,2.5,0.564,0.0,0.564,0.564,0.333,1.6,0.2,0.2,0.6,0.2
Archie Rose-2009,7.1,2.4,0.292,0.333,0.278,0.333,0.833,1.9,0.2,0.1,0.0,0.6
Noah Hartsock-2009,11.3,2.4,0.581,0.0,0.581,0.581,0.571,2.3,0.3,0.2,0.6,0.5
Jimmer Fredette-2010,31.1,22.1,0.458,0.44,0.468,0.537,0.892,3.1,4.7,1.2,0.1,2.7
Jackson Emery-2010,28.9,12.5,0.487,0.431,0.594,0.629,0.744,4.5,2.7,2.6,0.3,1.2
Tyler Haws-2010,26.4,11.3,0.498,0.368,0.544,0.546,0.917,4.2,1.5,0.7,0.1,1.2
Jonathan Tavernari-2010,23.6,10.1,0.415,0.387,0.445,0.514,0.814,4.4,1.5,1.4,0.2,1.2
Noah Hartsock-2010,24.4,6.5,0.554,0.25,0.561,0.557,0.864,5.1,1.2,0.5,1.3,0.6
Brandon Davies-2010,13.5,5.4,0.539,0.0,0.543,0.539,0.568,3.0,0.3,0.4,0.4,1.3
Michael Loyd Jr-2010,14.1,5.1,0.528,0.422,0.59,0.606,0.673,1.2,1.1,0.7,0.1,1.1
